,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",-6.193383523527196,-6.658650705035363,-1.0844232003970093,-6.612333568827749
"[40.0, 0.0, 80.0, 40.0]",-5.221346996957478,-7.624601937882315,0.5878806609618045,-6.318373880035586
"[80.0, 0.0, 120.0, 40.0]",-5.844490991010143,-5.005141628440056,2.4692510912273917,-5.897846245244173
"[120.0, 0.0, 160.0, 40.0]",-2.6731436425265924,-4.218720876439369,4.428786396357365,-5.458429241454817
"[160.0, 0.0, 200.0, 40.0]",-5.098096861483834,-5.0371761548852945,6.459342666400552,-5.035723202624915
"[200.0, 0.0, 240.0, 40.0]",-4.204229479400536,-2.6940696368766934,8.57899992942176,-3.6909487156749963
"[240.0, 0.0, 280.0, 40.0]",-1.8897996256214786,-2.0421768422956084,10.793335446027545,-0.3888811658169964
"[40.0, 40.0, 80.0, 80.0]",-8.866887711917629,-8.847040952753577,-8.843347347857012,-8.837994062637732
"[40.0, 80.0, 80.0, 120.0]",-8.816907782826581,-8.831681036352832,-8.831802978156606,-8.852210591203429
"[80.0, 80.0, 120.0, 120.0]",-8.836865452540946,-8.831667277247721,-8.819014072354076,-8.81587330401761
"[120.0, 80.0, 160.0, 120.0]",-8.812208600849821,-8.82471926626613,-8.80488478694533,-8.814928136743164
"[80.0, 120.0, 120.0, 160.0]",-8.82559421495677,-8.828500783531267,-8.818184803393688,-8.825688686562337
"[80.0, 160.0, 120.0, 200.0]",-8.816191518711186,-8.818970126994465,-8.836098771785469,-8.834763543597573
"[40.0, 160.0, 80.0, 200.0]",-8.848364738130321,-8.824841738670175,-8.833153050140071,-8.81127641917726
"[40.0, 200.0, 80.0, 240.0]",-8.836486854726788,-8.816000194093931,-8.830735762909276,-8.827692669066828
"[40.0, 240.0, 80.0, 280.0]",-8.8247184755616,-8.812209092130248,-8.808683145924489,-8.818464285885028
"[80.0, 240.0, 120.0, 280.0]",-8.824404344833916,-8.82041953736735,-8.804344260288122,-8.812177524634823
"[40.0, 120.0, 80.0, 160.0]",-8.831654411085587,-8.83375009730097,-8.835578919431795,-8.832710648669767
"[120.0, 120.0, 160.0, 160.0]",-8.809988565494333,-8.812720326589957,-8.842728773446748,-8.809881021159173
"[160.0, 80.0, 200.0, 120.0]",-8.824447089906997,-8.816649615543218,-8.796942177110239,-8.806703979809436
"[120.0, 160.0, 160.0, 200.0]",-8.816365269567736,-8.831908801622625,-8.816296067956312,-8.815043973735005
"[160.0, 160.0, 200.0, 200.0]",-8.805243618022779,-8.79165051224533,-8.78736001267554,-8.828912517013945
"[160.0, 200.0, 200.0, 240.0]",-8.785116289307519,-8.799715480581462,-8.778653213440148,-8.79586039545129
"[200.0, 200.0, 240.0, 240.0]",-8.764619830281497,-43.2891136,-8.763615687982824,-8.779442949350322
"[120.0, 200.0, 160.0, 240.0]",-8.801678548144618,-8.818842822436961,-8.801272386398423,-8.815089873534822
"[120.0, 240.0, 160.0, 280.0]",-8.81369048381973,-8.790510017644934,-8.796727912853651,-8.820261050997956
"[80.0, 200.0, 120.0, 240.0]",-8.822780056651439,-8.808564572728807,-8.819473879127317,-8.833175636634262
"[160.0, 240.0, 200.0, 280.0]",-8.788971229086545,-8.802249273594603,-36.8928,-8.812838308439167
"[160.0, 120.0, 200.0, 160.0]",-8.806873146411762,-8.826083748788813,-8.82146870070636,-8.823287346230071
"[200.0, 160.0, 240.0, 200.0]",-8.78618367997994,-8.762138834671166,-8.770518150620902,-8.781020130004737
"[200.0, 120.0, 240.0, 160.0]",-8.808750981692826,-8.792063765007535,-8.8019283040544,-8.804532985326183
"[200.0, 80.0, 240.0, 120.0]",-8.800639644270975,-8.806251599068561,-8.790418243249366,-8.8117532151099
"[0.0, 40.0, 40.0, 80.0]",-6.390651653529282,-6.3826546056468665,-6.594948291679166,-6.424549840440251
terminal,0.0,0.0,0.0,0.0
"[0.0, 80.0, 40.0, 120.0]",-6.136479322047252,-5.971074269700856,-6.513889041436316,-6.04482836082244
"[280.0, 0.0, 320.0, 40.0]",3.280052451026299,-3.508261034564111,13.18153865823414,-0.49299386236644827
"[320.0, 0.0, 360.0, 40.0]",-3.141950234630457,15.800748025087128,0.11167380657105408,1.6437767899450595
"[320.0, 40.0, 360.0, 80.0]",-3.0202571104591374,18.688306294027512,0.741989983537215,-3.121866184732349
"[280.0, 40.0, 320.0, 80.0]",-3.1439699889612642,-3.168742739267129,-2.222594453543679,-3.26458093354402
"[280.0, 80.0, 320.0, 120.0]",-2.9604522058051868,-2.5427651179119946,3.558126978215029,-2.7004421567127324
"[320.0, 80.0, 360.0, 120.0]",-2.4791405267922513,21.88369296976688,1.6803046798159738,-2.4302999353881716
"[320.0, 120.0, 360.0, 160.0]",-1.8904594231898662,25.42877339780458,10.224180492850088,-1.8114584857189724
"[320.0, 160.0, 360.0, 200.0]",11.876167854478261,29.365843204879596,16.567651021793978,-1.552186883753662
"[320.0, 200.0, 360.0, 240.0]",2.9948594080777067,33.73997578560367,8.781681341733151,0.48864442547083065
"[320.0, 240.0, 360.0, 280.0]",8.688004471968,38.59999746434667,14.17103870100571,0.43155891111543265
"[320.0, 280.0, 360.0, 320.0]",-0.4664304,43.99999987285349,7.559971153747971,-0.1430336
"[280.0, 280.0, 320.0, 320.0]",-0.2,-0.2,8.945002873803976,-0.36000000000000004
"[280.0, 240.0, 320.0, 280.0]",-0.7548717601280001,-0.534944,11.641653904018167,-0.8151392000000001
"[280.0, 320.0, 320.0, 360.0]",-0.2,3.5757965418496007,43.9943982231088,6.503489937959962
"[240.0, 280.0, 280.0, 320.0]",-0.396,-0.5528,-0.396,-0.396
"[240.0, 320.0, 280.0, 360.0]",-0.396,6.328863176070425,38.552612150890695,1.2513830378428454
"[200.0, 320.0, 240.0, 360.0]",-0.823664,2.9085782657646795,33.49744293667616,4.1633869318574055
"[200.0, 280.0, 240.0, 320.0]",-18.0,-0.616304,-0.42479999999999996,-0.396
"[320.0, 320.0, 360.0, 360.0]",49.9999999999803,18.0,33.616,10.0
"[0.0, 120.0, 40.0, 160.0]",-5.65960648250012,-5.303761454537071,-5.705163488510334,-5.6751561016651255
"[0.0, 160.0, 40.0, 200.0]",-5.3247690943828,-4.15957817463368,-6.021144435167956,-5.282080685993978
"[280.0, 120.0, 320.0, 160.0]",-2.143676115722359,-2.1084574470832242,2.7328949121161976,-2.1383401072365222
"[280.0, 160.0, 320.0, 200.0]",-1.5601450140827466,-1.61270690531328,4.3036133957106495,-1.6312698595016193
"[280.0, 200.0, 320.0, 240.0]",-1.16142134507264,-0.8614644963885056,11.205466141484944,-1.2609568294400002
"[240.0, 240.0, 280.0, 280.0]",-0.58808,-0.58808,-0.36343646438850563,-10.0
"[0.0, 200.0, 40.0, 240.0]",-4.8682826697922,-2.3538209720182626,-4.973975799496463,-4.850170686955641
"[0.0, 240.0, 40.0, 280.0]",-4.40430520030215,0.20196580073737297,-5.049791482359784,-4.449861423532632
"[0.0, 280.0, 40.0, 320.0]",-3.8741681343945613,3.8089192742389586,-3.8421966349092154,-2.8715013138612075
"[0.0, 320.0, 40.0, 360.0]",-2.9959045934606783,-3.2940736078830444,8.319550955118702,-3.0898843563337546
"[40.0, 320.0, 80.0, 360.0]",-2.9067823381935405,-2.7162345693300676,13.501950896913296,0.8782989171598254
"[80.0, 320.0, 120.0, 360.0]",0.2932458066201531,-2.238459954308659,18.78487058484641,-2.344391227785627
"[120.0, 320.0, 160.0, 360.0]",0.114563845275647,-1.5462716128129839,23.82830066044384,-1.723353859716701
"[160.0, 320.0, 200.0, 360.0]",4.02439997846176,3.4644038566692217,28.655008447539043,5.118007304159294
